pizza_id,name,style,ingredient,dietary_tag,price,customer_rating,free_delivery,size
MARGHERITA,Margherita,Italian,Cheese,Vegetarian,18.0,4.3,Yes,
PEPPERONI,Pepperoni,American,Pepperoni,,22.0,4.6,No,
VEGGIE,Veggie Supreme,American,Vegetables,Vegetarian,20.0,4.4,Yes,
CHICKEN_DELUXE,Chicken Deluxe,American,Chicken,,26.0,4.7,No,
MUSHROOM_TRUFFLE,Mushroom Truffle,Italian,Mushrooms,Vegetarian,28.0,4.8,Yes,
GLUTEN_FREE_GARDEN,Gluten-Free Garden,Italian,Vegetables,Gluten-free,31.0,4.5,No,
VEGAN_CLASSIC,Vegan Classic,Italian,Vegetables,Vegan,24.0,4.2,Yes,
DAIRY_FREE_CHICKEN,Dairy-Free Chicken,American,Chicken,Dairy-free,29.0,4.4,Yes,
NEW_0,Mediterranean,American,Chicken,,15.37,4.9,No,Small
NEW_1,Mexican Fiesta,Italian,Vegetables,Vegan,17.64,3.6,No,Medium
NEW_2,Buffalo Chicken,Italian,Cheese,Vegetarian,17.33,3.8,Yes,Small
NEW_3,Mediterranean,Italian,Vegetables,Vegan,16.96,4.8,Yes,Medium
NEW_4,Hawaiian,Italian,Vegetables,Vegan,10.47,4.5,Yes,Large
NEW_5,BBQ Chicken,American,Vegetables,Vegetarian,13.64,4.1,Yes,Medium
NEW_6,Seafood,American,Chicken,,17.2,4.5,No,Small
NEW_7,Four Cheese,Italian,Mushrooms,Vegetarian,15.16,4.5,No,Small
NEW_8,Mexican Fiesta,Italian,Vegetables,Vegan,15.48,3.5,Yes,Small
NEW_9,Hawaiian,American,Vegetables,Vegetarian,23.08,4.3,Yes,Small
NEW_10,Mexican Fiesta,Italian,Vegetables,Gluten-free,11.0,3.7,No,Small
NEW_11,Spicy Beef,Italian,Cheese,Vegetarian,24.31,4.5,No,Medium
NEW_12,Hawaiian,American,Vegetables,Vegetarian,20.4,4.3,Yes,Large
NEW_13,Mediterranean,American,Chicken,,9.24,4.6,Yes,Medium
NEW_14,BBQ Chicken,Italian,Vegetables,Gluten-free,21.95,4.8,Yes,Small
NEW_15,Seafood,American,Chicken,,12.24,4.2,Yes,Large
NEW_16,Mediterranean,Italian,Mushrooms,Vegetarian,23.59,3.9,No,Medium
NEW_17,Four Cheese,Italian,Vegetables,Vegan,9.75,5.0,Yes,Large
NEW_18,Buffalo Chicken,Italian,Vegetables,Gluten-free,19.39,4.2,No,Medium
NEW_19,Buffalo Chicken,Italian,Vegetables,Vegan,11.75,4.9,Yes,Small
NEW_20,Hawaiian,Italian,Mushrooms,Vegetarian,24.82,3.9,No,Large
NEW_21,Four Cheese,Italian,Vegetables,Gluten-free,14.62,4.2,Yes,Small
NEW_22,Hawaiian,American,Vegetables,Vegetarian,13.52,3.9,No,Small
NEW_23,Hawaiian,Italian,Vegetables,Vegan,24.11,4.7,Yes,Small
NEW_24,Spicy Beef,American,Pepperoni,,13.28,4.7,No,Large
NEW_25,Mexican Fiesta,Italian,Vegetables,Gluten-free,22.82,4.9,Yes,Large
NEW_26,Four Cheese,American,Chicken,,24.09,4.6,Yes,Medium
NEW_27,Hawaiian,Italian,Cheese,Vegetarian,14.95,3.7,No,Medium
NEW_28,BBQ Chicken,Italian,Cheese,Vegetarian,9.84,4.5,No,Medium
NEW_29,BBQ Chicken,Italian,Mushrooms,Vegetarian,15.83,4.8,No,Small
NEW_30,Spicy Beef,Italian,Vegetables,Vegan,13.81,4.1,Yes,Large
NEW_31,BBQ Chicken,American,Pepperoni,,17.89,4.1,No,Large
NEW_32,Four Cheese,Italian,Mushrooms,Vegetarian,18.01,4.8,Yes,Large
NEW_33,Seafood,Italian,Vegetables,Gluten-free,21.73,4.8,Yes,Large
NEW_34,Mexican Fiesta,American,Chicken,,18.08,4.8,No,Medium
NEW_35,Spicy Beef,Italian,Cheese,Vegetarian,19.02,4.8,No,Large
NEW_36,Hawaiian,American,Pepperoni,,14.47,4.7,Yes,Large
NEW_37,Four Cheese,Italian,Vegetables,Vegan,18.95,4.2,Yes,Medium
NEW_38,Four Cheese,Italian,Vegetables,Gluten-free,9.32,4.1,Yes,Small
NEW_39,Seafood,American,Vegetables,Vegetarian,11.43,4.8,Yes,Small
NEW_40,Mediterranean,American,Chicken,,23.67,3.8,No,Small
NEW_41,Spicy Beef,Italian,Mushrooms,Vegetarian,11.87,3.8,Yes,Medium
NEW_42,Mediterranean,American,Chicken,Dairy-free,18.08,3.6,No,Small
NEW_43,Mediterranean,American,Pepperoni,,12.15,3.9,Yes,Large
NEW_44,Four Cheese,Italian,Mushrooms,Vegetarian,24.57,4.6,No,Small
NEW_45,Hawaiian,Italian,Vegetables,Gluten-free,13.37,4.4,Yes,Small
NEW_46,Mexican Fiesta,Italian,Mushrooms,Vegetarian,15.71,4.0,No,Large
NEW_47,BBQ Chicken,Italian,Cheese,Vegetarian,20.26,4.5,Yes,Small
NEW_48,Buffalo Chicken,Italian,Cheese,Vegetarian,21.63,4.7,Yes,Large
NEW_49,BBQ Chicken,Italian,Vegetables,Gluten-free,10.08,4.6,No,Small
NEW_50,Spicy Beef,Italian,Mushrooms,Vegetarian,23.88,4.4,No,Medium
NEW_51,Mediterranean,Italian,Vegetables,Vegan,18.32,4.3,No,Medium
NEW_52,Spicy Beef,Italian,Mushrooms,Vegetarian,10.0,3.8,No,Medium
NEW_53,Hawaiian,American,Vegetables,Vegetarian,16.96,4.8,Yes,Medium
NEW_54,Buffalo Chicken,American,Pepperoni,,23.18,4.3,No,Large
NEW_55,Mexican Fiesta,Italian,Vegetables,Gluten-free,23.29,4.7,Yes,Small
NEW_56,Spicy Beef,Italian,Cheese,Vegetarian,18.38,4.4,Yes,Medium
NEW_57,Spicy Beef,American,Pepperoni,,15.32,4.7,Yes,Medium
NEW_58,Buffalo Chicken,American,Pepperoni,,11.5,4.7,Yes,Medium
NEW_59,Mexican Fiesta,Italian,Vegetables,Vegan,16.42,4.9,Yes,Medium
NEW_60,Buffalo Chicken,American,Chicken,Dairy-free,17.99,4.4,Yes,Medium
NEW_61,Mediterranean,Italian,Vegetables,Gluten-free,23.01,4.7,No,Large
NEW_62,BBQ Chicken,Italian,Vegetables,Vegan,9.22,3.8,No,Small
NEW_63,Hawaiian,American,Pepperoni,,12.63,4.0,Yes,Large
NEW_64,Buffalo Chicken,Italian,Mushrooms,Vegetarian,20.87,4.5,Yes,Small
NEW_65,Buffalo Chicken,American,Pepperoni,,12.34,3.8,Yes,Small
NEW_66,Mediterranean,American,Chicken,,19.22,4.2,No,Small
NEW_67,Spicy Beef,Italian,Cheese,Vegetarian,10.36,4.0,Yes,Large
NEW_68,Mexican Fiesta,Italian,Vegetables,Vegan,10.65,4.2,Yes,Small
NEW_69,Mexican Fiesta,Italian,Vegetables,Vegan,15.22,4.9,No,Large
NEW_70,Seafood,Italian,Vegetables,Vegan,14.12,3.9,No,Small
NEW_71,Buffalo Chicken,Italian,Mushrooms,Vegetarian,16.07,3.8,Yes,Small
NEW_72,Hawaiian,Italian,Mushrooms,Vegetarian,9.88,4.5,Yes,Small
NEW_73,Mexican Fiesta,American,Pepperoni,,16.02,4.9,No,Small
NEW_74,Spicy Beef,Italian,Vegetables,Gluten-free,20.77,3.8,Yes,Small
NEW_75,Mediterranean,Italian,Vegetables,Vegan,12.43,4.9,Yes,Medium
NEW_76,Hawaiian,Italian,Vegetables,Vegan,22.84,3.8,Yes,Large
NEW_77,Spicy Beef,American,Pepperoni,,22.84,3.6,Yes,Large
NEW_78,Buffalo Chicken,Italian,Cheese,Vegetarian,11.78,4.5,No,Large
NEW_79,Mediterranean,American,Chicken,,16.1,4.1,No,Large
NEW_80,BBQ Chicken,American,Pepperoni,,9.26,4.1,Yes,Small
NEW_81,Mexican Fiesta,Italian,Cheese,Vegetarian,22.69,4.3,Yes,Large
NEW_82,Mexican Fiesta,Italian,Vegetables,Vegan,22.55,3.6,Yes,Large
NEW_83,Mediterranean,Italian,Vegetables,Gluten-free,16.21,4.9,No,Medium
NEW_84,Spicy Beef,Italian,Cheese,Vegetarian,9.23,4.3,Yes,Medium
NEW_85,Buffalo Chicken,American,Chicken,,23.19,4.8,No,Small
NEW_86,Four Cheese,American,Pepperoni,,18.13,3.8,No,Medium
NEW_87,Mexican Fiesta,Italian,Vegetables,Gluten-free,22.44,4.2,Yes,Medium
NEW_88,Hawaiian,American,Vegetables,Vegetarian,9.86,4.3,Yes,Small
NEW_89,Hawaiian,Italian,Vegetables,Gluten-free,19.7,4.1,No,Medium
NEW_90,Seafood,American,Chicken,,12.03,3.7,No,Small
NEW_91,Buffalo Chicken,Italian,Vegetables,Vegan,16.35,4.0,Yes,Medium
NEW_92,Mediterranean,American,Vegetables,Vegetarian,17.23,4.0,Yes,Large
NEW_93,Four Cheese,American,Chicken,,9.58,3.8,No,Small
NEW_94,Hawaiian,Italian,Mushrooms,Vegetarian,12.74,3.8,Yes,Medium
NEW_95,Mediterranean,American,Vegetables,Vegetarian,22.07,3.7,Yes,Small
NEW_96,Mediterranean,Italian,Cheese,Vegetarian,19.58,4.8,No,Large
NEW_97,Buffalo Chicken,American,Vegetables,Vegetarian,23.18,4.5,No,Medium
NEW_98,Four Cheese,Italian,Vegetables,Gluten-free,11.12,3.7,No,Medium
NEW_99,Spicy Beef,Italian,Vegetables,Vegan,15.11,4.1,Yes,Medium
NEW_100,Four Cheese,Italian,Cheese,Vegetarian,20.19,4.5,No,Small
NEW_101,BBQ Chicken,American,Vegetables,Vegetarian,24.59,4.2,Yes,Small
NEW_102,Hawaiian,American,Vegetables,Vegetarian,17.48,4.9,Yes,Medium
NEW_103,BBQ Chicken,American,Vegetables,Vegetarian,8.48,4.8,No,Small
NEW_104,Mediterranean,American,Pepperoni,,17.08,4.9,No,Large
NEW_105,Hawaiian,Italian,Mushrooms,Vegetarian,23.66,3.9,No,Large
NEW_106,Buffalo Chicken,American,Chicken,,20.11,4.9,No,Medium
NEW_107,Hawaiian,American,Vegetables,Vegetarian,22.39,4.6,Yes,Medium
NEW_108,BBQ Chicken,Italian,Vegetables,Gluten-free,23.22,4.4,No,Small
NEW_109,Mediterranean,American,Chicken,,22.77,4.6,Yes,Small
NEW_110,BBQ Chicken,Italian,Cheese,Vegetarian,15.7,5.0,No,Medium
NEW_111,Mediterranean,American,Pepperoni,,16.44,4.4,Yes,Medium
NEW_112,Seafood,Italian,Vegetables,Gluten-free,20.05,3.8,Yes,Large
NEW_113,Mediterranean,American,Pepperoni,,11.73,4.0,Yes,Large
NEW_114,Seafood,American,Chicken,Dairy-free,19.27,3.9,Yes,Large
NEW_115,Hawaiian,Italian,Mushrooms,Vegetarian,16.57,4.8,No,Medium
NEW_116,BBQ Chicken,Italian,Vegetables,Vegan,20.22,4.7,Yes,Small
NEW_117,Hawaiian,Italian,Vegetables,Vegan,9.8,4.6,Yes,Small
NEW_118,Hawaiian,Italian,Vegetables,Vegan,9.61,4.5,No,Large
NEW_119,Seafood,Italian,Vegetables,Gluten-free,11.66,4.0,No,Small
NEW_120,Four Cheese,Italian,Cheese,Vegetarian,23.46,3.8,No,Medium
NEW_121,Four Cheese,American,Chicken,Dairy-free,16.21,4.2,No,Medium
NEW_122,Mediterranean,Italian,Vegetables,Gluten-free,21.79,3.9,No,Medium
NEW_123,Mediterranean,Italian,Cheese,Vegetarian,12.38,4.0,No,Small
NEW_124,BBQ Chicken,American,Chicken,Dairy-free,10.66,5.0,Yes,Medium
NEW_125,Hawaiian,Italian,Cheese,Vegetarian,21.28,4.2,No,Small
NEW_126,Seafood,American,Pepperoni,,21.87,4.3,Yes,Small
NEW_127,BBQ Chicken,American,Chicken,Dairy-free,21.17,3.7,No,Large
NEW_128,Mexican Fiesta,Italian,Vegetables,Vegan,20.68,4.1,Yes,Large
NEW_129,Buffalo Chicken,Italian,Vegetables,Vegan,15.3,4.8,Yes,Small
NEW_130,Hawaiian,Italian,Mushrooms,Vegetarian,22.24,3.8,Yes,Large
NEW_131,BBQ Chicken,American,Vegetables,Vegetarian,9.16,4.9,Yes,Large
NEW_132,Mediterranean,American,Chicken,,21.48,4.4,No,Medium
NEW_133,Buffalo Chicken,American,Chicken,Dairy-free,19.41,3.8,No,Small
NEW_134,Buffalo Chicken,American,Chicken,,19.02,4.3,Yes,Small
NEW_135,Mediterranean,Italian,Cheese,Vegetarian,9.76,4.4,Yes,Large
NEW_136,BBQ Chicken,American,Vegetables,Vegetarian,11.47,4.5,No,Medium
NEW_137,Four Cheese,Italian,Vegetables,Gluten-free,11.17,3.7,Yes,Small
NEW_138,Mediterranean,Italian,Mushrooms,Vegetarian,20.24,3.6,Yes,Small
NEW_139,Mexican Fiesta,Italian,Cheese,Vegetarian,18.58,4.3,No,Medium
NEW_140,Spicy Beef,Italian,Mushrooms,Vegetarian,22.94,4.8,No,Medium
NEW_141,Mexican Fiesta,American,Pepperoni,,19.14,3.7,No,Large
NEW_142,Four Cheese,American,Pepperoni,,18.85,5.0,No,Large
NEW_143,Mexican Fiesta,Italian,Vegetables,Gluten-free,23.28,3.9,No,Large
NEW_144,Mexican Fiesta,American,Vegetables,Vegetarian,24.43,4.5,Yes,Large
NEW_145,Buffalo Chicken,Italian,Cheese,Vegetarian,10.32,3.8,Yes,Medium
NEW_146,Four Cheese,American,Chicken,Dairy-free,23.84,4.8,Yes,Medium
NEW_147,Mediterranean,American,Pepperoni,,14.65,4.9,No,Large
NEW_148,Mediterranean,American,Vegetables,Vegetarian,23.72,4.6,No,Medium
NEW_149,Buffalo Chicken,American,Vegetables,Vegetarian,20.74,4.1,Yes,Small
NEW_150,Hawaiian,American,Chicken,Dairy-free,22.1,3.6,Yes,Medium
NEW_151,Buffalo Chicken,American,Chicken,Dairy-free,18.54,3.5,Yes,Small
NEW_152,Mediterranean,American,Chicken,,14.85,4.2,Yes,Large
NEW_153,Hawaiian,American,Pepperoni,,8.68,3.7,Yes,Medium
NEW_154,Mediterranean,American,Chicken,Dairy-free,24.32,3.8,No,Small
NEW_155,Four Cheese,Italian,Cheese,Vegetarian,14.44,3.5,No,Medium
NEW_156,Mediterranean,Italian,Vegetables,Gluten-free,22.39,4.8,Yes,Large
NEW_157,Spicy Beef,American,Chicken,Dairy-free,22.54,4.8,No,Small
NEW_158,Spicy Beef,Italian,Mushrooms,Vegetarian,9.74,4.1,Yes,Small
NEW_159,Hawaiian,American,Chicken,Dairy-free,11.15,4.3,Yes,Medium
NEW_160,Seafood,Italian,Cheese,Vegetarian,13.45,4.6,No,Medium
NEW_161,Spicy Beef,Italian,Vegetables,Vegan,11.64,4.4,Yes,Large
NEW_162,Mediterranean,Italian,Mushrooms,Vegetarian,22.73,4.5,Yes,Medium
NEW_163,Four Cheese,American,Chicken,Dairy-free,24.84,4.7,Yes,Small
NEW_164,Four Cheese,American,Pepperoni,,16.26,3.8,Yes,Large
NEW_165,Mediterranean,American,Vegetables,Vegetarian,16.46,5.0,No,Large
NEW_166,Mediterranean,American,Chicken,,10.75,4.1,No,Small
NEW_167,Seafood,Italian,Vegetables,Gluten-free,15.36,4.3,Yes,Small
NEW_168,Mediterranean,Italian,Vegetables,Gluten-free,10.65,3.8,No,Large
NEW_169,Seafood,American,Chicken,Dairy-free,23.9,3.7,No,Small
NEW_170,Mediterranean,Italian,Mushrooms,Vegetarian,12.51,4.5,Yes,Medium
NEW_171,Hawaiian,Italian,Cheese,Vegetarian,17.69,4.2,Yes,Large
NEW_172,Hawaiian,Italian,Vegetables,Vegan,10.51,3.6,Yes,Small
NEW_173,BBQ Chicken,Italian,Cheese,Vegetarian,17.09,5.0,Yes,Small
NEW_174,Mexican Fiesta,Italian,Vegetables,Vegan,10.84,4.8,Yes,Small
NEW_175,Spicy Beef,Italian,Cheese,Vegetarian,23.11,4.0,Yes,Medium
NEW_176,Buffalo Chicken,American,Pepperoni,,18.98,4.0,No,Large
NEW_177,Buffalo Chicken,Italian,Mushrooms,Vegetarian,15.37,3.9,Yes,Medium
NEW_178,Hawaiian,American,Vegetables,Vegetarian,15.81,4.8,Yes,Small
NEW_179,Hawaiian,American,Vegetables,Vegetarian,11.28,3.8,Yes,Medium
NEW_180,Spicy Beef,American,Pepperoni,,16.78,4.6,Yes,Large
NEW_181,Four Cheese,Italian,Vegetables,Gluten-free,9.87,4.6,No,Medium
NEW_182,Mediterranean,American,Vegetables,Vegetarian,22.57,4.7,Yes,Small
NEW_183,BBQ Chicken,Italian,Vegetables,Gluten-free,18.81,4.9,Yes,Medium
NEW_184,Spicy Beef,American,Vegetables,Vegetarian,24.4,4.9,No,Medium
NEW_185,Four Cheese,American,Pepperoni,,8.17,3.5,No,Large
NEW_186,Mexican Fiesta,American,Vegetables,Vegetarian,13.22,4.5,Yes,Medium
NEW_187,Four Cheese,Italian,Cheese,Vegetarian,14.8,4.0,Yes,Small
NEW_188,Mediterranean,American,Chicken,Dairy-free,20.68,3.7,No,Large
NEW_189,Mexican Fiesta,Italian,Vegetables,Vegan,16.66,4.5,Yes,Small
NEW_190,Mexican Fiesta,Italian,Vegetables,Vegan,19.42,4.0,Yes,Large
NEW_191,Buffalo Chicken,Italian,Vegetables,Gluten-free,24.02,4.4,Yes,Small
NEW_192,Seafood,Italian,Mushrooms,Vegetarian,18.65,3.5,No,Large
NEW_193,Seafood,Italian,Vegetables,Vegan,23.83,4.7,Yes,Small
NEW_194,Hawaiian,American,Chicken,Dairy-free,13.46,3.8,Yes,Medium
NEW_195,Mediterranean,Italian,Vegetables,Gluten-free,19.78,4.9,No,Small
NEW_196,Mexican Fiesta,Italian,Vegetables,Gluten-free,20.95,3.7,Yes,Medium
NEW_197,Seafood,Italian,Vegetables,Gluten-free,19.06,4.9,Yes,Large
NEW_198,Seafood,Italian,Mushrooms,Vegetarian,18.89,4.9,No,Large
NEW_199,Mexican Fiesta,Italian,Vegetables,Gluten-free,19.31,4.7,Yes,Large
